Дата_день,Количество_размещенные,Количество_выкупленные
2018-01-28,2303,281
2018-01-29,3282,304
2018-01-30,2729,60
2018-01-31,2771,0
2018-02-01,1519,797
2018-02-02,1244,659
2018-02-03,1143,595
2018-02-04,1327,656
2018-02-05,1825,914
2018-02-06,1562,785
2018-02-07,1976,1029
2018-02-08,2488,1208
2018-02-09,1909,974
2018-02-10,1579,786
2018-02-11,1913,1102
2018-02-12,1906,980
2018-02-13,5154,2707
2018-02-14,3891,2058
2018-02-15,2894,1470
2018-02-16,1755,834
2018-02-17,1134,564
2018-02-18,1798,1026
2018-02-19,1783,874
2018-02-20,2250,992
2018-02-21,2354,1139
2018-02-22,2486,1272
2018-02-23,3150,1616
2018-02-24,1863,1008
2018-02-25,2060,1146
2018-02-26,2567,1298
2018-02-27,2522,1237
2018-02-28,2555,1246
